"","x_vals","mean.h"
"h1","2020-03-16",-2.66809524339699
"h2","2020-03-17",-2.95359936611556
"h3","2020-03-18",-3.22900865008535
"h4","2020-03-19",-3.49515512882991
"h5","2020-03-20",-3.75423454507887
"h6","2020-03-23",-4.00359704188425
"h7","2020-03-24",-4.23341244281539
"h8","2020-03-25",-4.46082708448724
"h9","2020-03-26",-4.68464494768339
"h10","2020-03-27",-4.89852763734476
"h11","2020-03-30",-5.10738515526543
"h12","2020-03-31",-5.30416488758246
"h13","2020-04-01",-5.48157524843705
"h14","2020-04-02",-5.64785729583899
"h15","2020-04-03",-5.80649944210911
"h16","2020-04-06",-5.9587365308509
"h17","2020-04-07",-6.11896520241091
"h18","2020-04-08",-6.26105218674461
"h19","2020-04-09",-6.39767237532298
"h20","2020-04-13",-6.51958419638771
"h21","2020-04-14",-6.62732114008225
"h22","2020-04-15",-6.73097038738791
"h23","2020-04-16",-6.83315253051391
"h24","2020-04-17",-6.92420380162566
"h25","2020-04-20",-7.01157771314092
"h26","2020-04-21",-7.09494631113668
"h27","2020-04-22",-7.18563612563851
"h28","2020-04-23",-7.27413125542603
"h29","2020-04-24",-7.34982423123931
"h30","2020-04-27",-7.4179390287696
"h31","2020-04-28",-7.48506808879088
"h32","2020-04-29",-7.53629214922837
"h33","2020-04-30",-7.59797407070985
"h34","2020-05-01",-7.64669297131511
"h35","2020-05-04",-7.70600637033596
"h36","2020-05-05",-7.75408802688963
"h37","2020-05-06",-7.78956338526716
"h38","2020-05-07",-7.81528208412976
"h39","2020-05-08",-7.84006268822325
"h40","2020-05-11",-7.86323617262084
"h41","2020-05-12",-7.88161358395924
"h42","2020-05-13",-7.90010852895892
"h43","2020-05-14",-7.92416858904775
"h44","2020-05-15",-7.9441275292316
"h45","2020-05-18",-7.95675697063114
"h46","2020-05-19",-8.00175765909977
"h47","2020-05-20",-8.0362734500164
"h48","2020-05-21",-8.06875658418667
"h49","2020-05-22",-8.08911023754373
"h50","2020-05-26",-8.10438860825536
"h51","2020-05-27",-8.12220820679829
"h52","2020-05-28",-8.14431467643086
"h53","2020-05-29",-8.1484819776825
"h54","2020-06-01",-8.14051302728889
"h55","2020-06-02",-8.1196711628852
"h56","2020-06-03",-8.08321861418098
"h57","2020-06-04",-8.05499652931932
"h58","2020-06-05",-8.0191972458256
"h59","2020-06-08",-8.00361595964942
"h60","2020-06-09",-7.97921521567057
"h61","2020-06-10",-7.94917913668649
"h62","2020-06-11",-7.91153625902344
"h63","2020-06-12",-7.97680931095757
"h64","2020-06-15",-8.037315735716
"h65","2020-06-16",-8.08900036897559
"h66","2020-06-17",-8.15176265574196
"h67","2020-06-18",-8.1973199013505
"h68","2020-06-19",-8.23518551680286
"h69","2020-06-22",-8.26688153131086
"h70","2020-06-23",-8.28916402471127
"h71","2020-06-24",-8.30019034610328
"h72","2020-06-25",-8.3392357395457
"h73","2020-06-26",-8.37240362554835
"h74","2020-06-29",-8.4301139629799
"h75","2020-06-30",-8.49117979648301
"h76","2020-07-01",-8.55260092644102
"h77","2020-07-02",-8.60635280581073
"h78","2020-07-06",-8.64839940180765
"h79","2020-07-07",-8.70574925238216
"h80","2020-07-08",-8.76886388023682
"h81","2020-07-09",-8.82706257806902
"h82","2020-07-10",-8.89225699333605
"h83","2020-07-13",-8.96013079413943
"h84","2020-07-14",-9.0178666417754
"h85","2020-07-15",-9.08607835226906
"h86","2020-07-16",-9.1483312820477
"h87","2020-07-17",-9.2016592027385
"h88","2020-07-20",-9.24327518817864
"h89","2020-07-21",-9.27373972690821
"h90","2020-07-22",-9.29633074290887
"h91","2020-07-23",-9.31181726078897
"h92","2020-07-24",-9.34361701342143
"h93","2020-07-27",-9.37446828553342
"h94","2020-07-28",-9.39721011056593
"h95","2020-07-29",-9.4196283755712
"h96","2020-07-30",-9.44250721804313
"h97","2020-07-31",-9.47072498716597
"h98","2020-08-03",-9.48788893198688
"h99","2020-08-04",-9.51246381229388
"h100","2020-08-05",-9.5320710557616
"h101","2020-08-06",-9.56558057077942
"h102","2020-08-07",-9.5891840076002
"h103","2020-08-10",-9.6045782493958
"h104","2020-08-11",-9.62191493988588
"h105","2020-08-12",-9.61998597843242
"h106","2020-08-13",-9.637046593884
"h107","2020-08-14",-9.65060268944213
"h108","2020-08-17",-9.64094886778933
"h109","2020-08-18",-9.62657214409781
"h110","2020-08-19",-9.60156320455285
"h111","2020-08-20",-9.56556141402266
"h112","2020-08-21",-9.52424706377515
"h113","2020-08-24",-9.47573317730735
"h114","2020-08-25",-9.44543985895273
"h115","2020-08-26",-9.4091778228426
"h116","2020-08-27",-9.36607900636674
"h117","2020-08-28",-9.31277840497627
"h118","2020-08-31",-9.24495631200031
"h119","2020-09-01",-9.1753235459688
"h120","2020-09-02",-9.10508658845621
"h121","2020-09-03",-9.03819018947008
"h122","2020-09-04",-9.02837392192074
"h123","2020-09-08",-9.0109669720253
"h124","2020-09-09",-9.01780579094446
"h125","2020-09-10",-9.03945612203619
"h126","2020-09-11",-9.06424068600199
"h127","2020-09-14",-9.0741106835587
"h128","2020-09-15",-9.08657347152347
"h129","2020-09-16",-9.08339133798161
"h130","2020-09-17",-9.06906430528798
"h131","2020-09-18",-9.04788825221744
"h132","2020-09-21",-9.02148735813865
"h133","2020-09-22",-9.01478527468503
