"","x_vals","mean.h"
"h1",2018-01-03,-6.59597717414679
"h2",2018-01-04,-6.75957060187292
"h3",2018-01-05,-6.9115355425866
"h4",2018-01-08,-7.06140626765198
"h5",2018-01-09,-7.20131555849011
"h6",2018-01-10,-7.3318598764644
"h7",2018-01-11,-7.44656529857885
"h8",2018-01-12,-7.55782374110662
"h9",2018-01-16,-7.65560905741761
"h10",2018-01-17,-7.74307340023804
"h11",2018-01-18,-7.82528263092525
"h12",2018-01-19,-7.89804517027831
"h13",2018-01-22,-7.95312838653017
"h14",2018-01-23,-8.00221214324249
"h15",2018-01-24,-8.03926410962882
"h16",2018-01-25,-8.05846348382253
"h17",2018-01-26,-8.06688318097983
"h18",2018-01-29,-8.06922057114424
"h19",2018-01-30,-8.06518502329753
"h20",2018-01-31,-8.05092430419413
"h21",2018-02-01,-8.0284005836369
"h22",2018-02-02,-8.00154288185254
"h23",2018-02-05,-7.97578670610687
"h24",2018-02-06,-7.99961578945265
"h25",2018-02-07,-8.02187899346125
"h26",2018-02-08,-8.03845069969367
"h27",2018-02-09,-8.1014074775401
"h28",2018-02-12,-8.16361678145727
"h29",2018-02-13,-8.22452582736308
"h30",2018-02-14,-8.2793486429365
"h31",2018-02-15,-8.33764092736039
"h32",2018-02-16,-8.40365417835096
"h33",2018-02-20,-8.46008657999939
"h34",2018-02-21,-8.50978725694161
"h35",2018-02-22,-8.55212463306316
"h36",2018-02-23,-8.58108198755746
"h37",2018-02-26,-8.61281096515648
"h38",2018-02-27,-8.6416742681014
"h39",2018-02-28,-8.66775803043013
"h40",2018-03-01,-8.69436149361738
"h41",2018-03-02,-8.71824802272454
"h42",2018-03-05,-8.7356412861232
"h43",2018-03-06,-8.75285215974298
"h44",2018-03-07,-8.75690739321555
"h45",2018-03-08,-8.74557456194573
"h46",2018-03-09,-8.72430680565315
"h47",2018-03-12,-8.71847693733493
"h48",2018-03-13,-8.7059210998469
"h49",2018-03-14,-8.68776422499077
"h50",2018-03-15,-8.66940212045955
"h51",2018-03-16,-8.64141505612891
"h52",2018-03-19,-8.60199684606096
"h53",2018-03-20,-8.56653452251073
"h54",2018-03-21,-8.53384198763863
"h55",2018-03-22,-8.48519931130238
"h56",2018-03-23,-8.4626088354932
"h57",2018-03-26,-8.4557294182304
"h58",2018-03-27,-8.47850149935241
"h59",2018-03-28,-8.51336099403811
"h60",2018-03-29,-8.54026781392131
"h61",2018-04-02,-8.5619063341906
"h62",2018-04-03,-8.60365620199218
"h63",2018-04-04,-8.65431200412395
"h64",2018-04-05,-8.70764795859619
"h65",2018-04-06,-8.75190978133908
"h66",2018-04-09,-8.8197385502971
"h67",2018-04-10,-8.88326303563833
"h68",2018-04-11,-8.96639851939649
"h69",2018-04-12,-9.04322925901926
"h70",2018-04-13,-9.11387475731715
"h71",2018-04-16,-9.17046863547474
"h72",2018-04-17,-9.22063208519178
"h73",2018-04-18,-9.26870253322427
"h74",2018-04-19,-9.30094069245513
"h75",2018-04-20,-9.33031027497317
"h76",2018-04-23,-9.35381419805495
"h77",2018-04-24,-9.37958777460275
"h78",2018-04-25,-9.42591143879516
"h79",2018-04-26,-9.45934109991572
"h80",2018-04-27,-9.50584829758593
"h81",2018-04-30,-9.53460483712726
"h82",2018-05-01,-9.56971713958286
"h83",2018-05-02,-9.59672753636888
"h84",2018-05-03,-9.62081919765911
"h85",2018-05-04,-9.63538771851193
"h86",2018-05-07,-9.67296912371288
"h87",2018-05-08,-9.69692091644272
"h88",2018-05-09,-9.71436148204604
"h89",2018-05-10,-9.74177795997763
"h90",2018-05-11,-9.78172462914083
"h91",2018-05-14,-9.81586635190886
"h92",2018-05-15,-9.83992044013416
"h93",2018-05-16,-9.86133746494718
"h94",2018-05-17,-9.87607951372158
"h95",2018-05-18,-9.88259188031125
"h96",2018-05-21,-9.8780886438607
"h97",2018-05-22,-9.88162425537745
"h98",2018-05-23,-9.88234312966073
"h99",2018-05-24,-9.87516357360791
"h100",2018-05-25,-9.8563284898424
"h101",2018-05-29,-9.83091825354184
"h102",2018-05-30,-9.83250774257163
"h103",2018-05-31,-9.8593436265039
"h104",2018-06-01,-9.89633380723355
"h105",2018-06-04,-9.95062321904103
"h106",2018-06-05,-9.9975294477428
"h107",2018-06-06,-10.0376338309958
"h108",2018-06-07,-10.0858958957938
"h109",2018-06-08,-10.131233621308
"h110",2018-06-11,-10.176161286912
"h111",2018-06-12,-10.2117813015346
"h112",2018-06-13,-10.2333207892561
"h113",2018-06-14,-10.2474430569075
"h114",2018-06-15,-10.2455070301396
"h115",2018-06-18,-10.2381269727799
"h116",2018-06-19,-10.2213025380638
"h117",2018-06-20,-10.2004047553189
"h118",2018-06-21,-10.1687289586605
"h119",2018-06-22,-10.1389543945584
"h120",2018-06-25,-10.0909012867399
"h121",2018-06-26,-10.0917051090758
"h122",2018-06-27,-10.0830514623912
"h123",2018-06-28,-10.0897339839447
"h124",2018-06-29,-10.0989920184952
"h125",2018-07-02,-10.0967824756682
"h126",2018-07-03,-10.0911831686598
"h127",2018-07-05,-10.0834333202036
"h128",2018-07-06,-10.0921307915171
"h129",2018-07-09,-10.1216383971895
"h130",2018-07-10,-10.1634799624693
"h131",2018-07-11,-10.2022579445929
"h132",2018-07-12,-10.2447024783879
"h133",2018-07-13,-10.2956990155248
"h134",2018-07-16,-10.3370080710825
"h135",2018-07-17,-10.3655842215721
"h136",2018-07-18,-10.3902078574043
"h137",2018-07-19,-10.4132628201806
"h138",2018-07-20,-10.4321665316463
"h139",2018-07-23,-10.4342538546738
"h140",2018-07-24,-10.4254624103238
"h141",2018-07-25,-10.4201086426225
"h142",2018-07-26,-10.4428344597709
"h143",2018-07-27,-10.4597263116023
"h144",2018-07-30,-10.4816760906815
